Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,23-233,DAL,@,PHO,L (-2),1,36:40,10,23,.435,2,10,.200,13,13,1.000,0,9,9,6,1,0,4,3,35,25.6,-16
2,2,2022-10-22,23-236,DAL,,MEM,W (+41),1,29:58,12,23,.522,4,9,.444,4,5,.800,2,5,7,10,2,2,3,2,32,29.8,+31
3,3,2022-10-25,23-239,DAL,@,NOP,L (-2),1,36:19,16,30,.533,2,13,.154,3,5,.600,3,8,11,7,2,1,3,3,37,29.5,+6
4,4,2022-10-27,23-241,DAL,@,BRK,W (+4),1,40:30,14,28,.500,2,6,.333,11,13,.846,1,10,11,14,3,0,5,2,41,36.9,+20
5,5,2022-10-29,23-243,DAL,,OKC,L (-6),1,40:00,8,23,.348,0,6,.000,15,19,.789,2,14,16,10,1,0,3,6,31,24.7,-25
6,6,2022-10-30,23-244,DAL,,ORL,W (+9),1,36:55,17,26,.654,2,9,.222,8,14,.571,0,3,3,5,1,0,0,3,44,34.4,+13
7,7,2022-11-02,23-247,DAL,,UTA,W (+3),1,35:28,12,20,.600,2,6,.333,7,10,.700,0,5,5,11,2,0,5,3,33,27.6,-3
8,8,2022-11-04,23-249,DAL,,TOR,W (+1),1,36:33,10,15,.667,3,6,.500,12,14,.857,1,7,8,6,3,1,4,4,35,32.8,+8
9,9,2022-11-07,23-252,DAL,,BRK,W (+2),1,38:25,11,22,.500,5,9,.556,9,12,.750,0,6,6,6,2,1,5,5,36,25.5,+1
10,10,2022-11-09,23-254,DAL,@,ORL,L (-7),1,35:25,9,29,.310,2,11,.182,4,7,.571,0,6,6,6,3,2,0,3,24,15.3,-3
11,11,2022-11-10,23-255,DAL,@,WAS,L (-8),1,39:10,8,21,.381,3,8,.375,3,9,.333,0,9,9,6,2,0,5,2,22,11.2,-6
12,12,2022-11-12,23-257,DAL,,POR,W (+5),1,37:41,13,22,.591,1,5,.200,15,18,.833,3,10,13,10,2,1,2,3,42,42.2,+6
13,13,2022-11-15,23-260,DAL,,LAC,W (+2),1,39:43,11,22,.500,2,5,.400,11,11,1.000,2,9,11,5,3,0,3,3,35,30.4,+4
14,,2022-11-16,23-261,DAL,,HOU,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,14,2022-11-18,23-263,DAL,,DEN,W (+28),1,34:52,11,22,.500,2,7,.286,9,11,.818,1,11,12,11,1,0,2,1,33,31.5,+25
16,15,2022-11-20,23-265,DAL,,DEN,L (-1),1,35:39,7,16,.438,2,8,.250,6,10,.600,0,9,9,8,1,0,4,2,22,16.5,+1
17,16,2022-11-23,23-268,DAL,@,BOS,L (-13),1,39:36,17,28,.607,3,8,.375,5,9,.556,1,7,8,9,0,0,5,4,42,30.1,-13
18,17,2022-11-26,23-271,DAL,@,TOR,L (-5),1,42:43,8,15,.533,2,4,.500,6,9,.667,0,7,7,9,2,1,4,2,24,21.8,+2
19,18,2022-11-27,23-272,DAL,@,MIL,L (-9),1,35:05,10,20,.500,3,7,.429,4,9,.444,0,5,5,12,0,0,6,2,27,18.1,-10
20,19,2022-11-29,23-274,DAL,,GSW,W (+3),1,39:17,14,27,.519,4,9,.444,9,15,.600,2,10,12,12,4,1,5,3,41,36.6,+22
21,20,2022-12-01,23-276,DAL,@,DET,L (-6),1,41:02,13,25,.520,7,14,.500,2,6,.333,0,5,5,10,3,0,3,3,35,28.4,-13
22,21,2022-12-03,23-278,DAL,@,NYK,W (+21),1,29:28,11,21,.524,4,9,.444,4,4,1.000,0,8,8,7,1,3,5,2,30,24.3,+13
23,22,2022-12-05,23-280,DAL,,PHO,W (+19),1,29:25,12,20,.600,4,9,.444,5,7,.714,1,5,6,8,1,2,3,3,33,29.0,+20
24,23,2022-12-06,23-281,DAL,@,DEN,W (+1),1,37:20,5,17,.294,4,9,.444,8,9,.889,0,10,10,12,0,1,5,2,22,18.0,+7
25,24,2022-12-09,23-284,DAL,,MIL,L (-1),1,36:33,13,28,.464,3,11,.273,4,10,.400,1,5,6,11,2,0,1,2,33,26.3,+6
26,,2022-12-10,23-285,DAL,@,CHI,L (-29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,25,2022-12-12,23-287,DAL,,OKC,W (+7),1,36:59,13,27,.481,3,10,.300,9,10,.900,0,11,11,8,0,0,4,3,38,27.6,+1
28,26,2022-12-14,23-289,DAL,,CLE,L (-15),1,39:19,9,23,.391,2,8,.250,10,11,.909,2,3,5,6,1,1,5,4,30,18.7,-20
29,27,2022-12-16,23-291,DAL,,POR,W (+20),1,28:49,11,18,.611,5,9,.556,6,7,.857,0,6,6,9,0,0,4,3,33,27.3,+16
30,,2022-12-17,23-292,DAL,@,CLE,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,28,2022-12-19,23-294,DAL,@,MIN,L (-10),1,28:24,5,17,.294,3,8,.375,6,7,.857,1,5,6,7,1,0,4,2,19,12.0,-14
32,29,2022-12-21,23-296,DAL,@,MIN,W (+5),1,37:04,8,16,.500,1,5,.200,8,9,.889,1,8,9,10,3,0,4,1,25,25.3,+7
33,30,2022-12-23,23-298,DAL,@,HOU,W (+6),1,42:16,17,30,.567,6,12,.500,10,12,.833,0,8,8,10,3,0,7,3,50,39.2,0
34,31,2022-12-25,23-300,DAL,,LAL,W (+9),1,39:18,9,16,.563,2,3,.667,12,16,.750,3,6,9,9,2,0,3,5,32,30.0,+24
35,32,2022-12-27,23-302,DAL,,NYK,W (+5),1,47:09,21,31,.677,2,6,.333,16,22,.727,5,16,21,10,2,1,4,5,60,56.3,+7
36,33,2022-12-29,23-304,DAL,,HOU,W (+15),1,34:17,11,21,.524,4,9,.444,9,12,.750,1,11,12,13,1,2,2,1,35,36.6,+19
37,34,2022-12-31,23-306,DAL,@,SAS,W (+1),1,37:14,18,29,.621,6,10,.600,9,15,.600,1,5,6,9,4,1,0,3,51,47.5,+7
38,35,2023-01-02,23-308,DAL,@,HOU,W (+5),1,41:14,10,26,.385,1,9,.111,18,22,.818,2,10,12,8,1,0,4,2,39,29.4,+9
39,36,2023-01-05,23-311,DAL,,BOS,L (-29),1,31:06,7,23,.304,0,6,.000,9,11,.818,0,9,9,3,0,0,4,4,23,8.1,-20
40,37,2023-01-07,23-313,DAL,,NOP,W (+10),1,39:26,10,23,.435,3,6,.500,11,15,.733,0,10,10,10,0,1,7,4,34,22.4,+7
41,,2023-01-08,23-314,DAL,@,OKC,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,38,2023-01-10,23-316,DAL,@,LAC,L (-12),1,42:48,12,22,.545,3,9,.333,16,21,.762,0,11,11,7,2,0,3,2,43,36.8,-9
43,39,2023-01-12,23-318,DAL,@,LAL,W (+4),1,52:43,14,28,.500,4,9,.444,3,7,.429,2,12,14,13,1,1,5,5,35,28.2,+10
44,40,2023-01-14,23-320,DAL,@,POR,L (-17),1,35:33,7,19,.368,0,5,.000,1,6,.167,0,6,6,10,1,1,1,2,15,11.2,-17
45,,2023-01-15,23-321,DAL,@,POR,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,41,2023-01-18,23-324,DAL,,ATL,L (-8),1,39:28,9,19,.474,2,8,.250,10,12,.833,0,4,4,8,0,0,7,3,30,18.1,-5
47,42,2023-01-20,23-326,DAL,,MIA,W (+25),1,37:50,12,24,.500,5,8,.625,5,8,.625,1,11,12,7,1,0,3,0,34,27.7,+29
48,43,2023-01-22,23-328,DAL,,LAC,L (-14),1,38:50,9,21,.429,3,7,.429,8,13,.615,3,7,10,4,1,0,4,3,29,18.7,-23
49,44,2023-01-24,23-330,DAL,,WAS,L (-1),1,37:46,16,29,.552,0,4,.000,9,12,.750,0,15,15,6,1,0,3,3,41,31.4,-2
50,45,2023-01-26,23-332,DAL,@,PHO,W (+4),1,3:21,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-4
51,,2023-01-28,23-334,DAL,@,UTA,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,46,2023-01-30,23-336,DAL,,DET,W (+6),1,36:09,17,24,.708,5,11,.455,14,18,.778,0,8,8,5,2,0,4,2,53,44.5,+8
53,47,2023-02-02,23-339,DAL,,NOP,W (+5),1,22:54,12,19,.632,2,7,.286,5,8,.625,0,8,8,4,2,0,4,2,31,23.7,+17
54,,2023-02-04,23-341,DAL,@,GSW,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,2023-02-06,23-343,DAL,@,UTA,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,,2023-02-08,23-345,DAL,@,LAC,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,2023-02-10,23-347,DAL,@,SAC,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,48,2023-02-11,23-348,DAL,@,SAC,L (-5),1,41:00,11,20,.550,2,9,.222,3,5,.600,1,8,9,5,0,0,6,0,27,17.2,+2
59,49,2023-02-13,23-350,DAL,,MIN,L (-3),1,36:03,10,20,.500,2,7,.286,11,15,.733,1,11,12,6,1,0,4,3,33,25.4,-12
60,50,2023-02-15,23-352,DAL,@,DEN,L (-9),1,34:59,12,22,.545,3,8,.375,10,12,.833,1,3,4,9,4,0,2,1,37,35.1,-12
61,51,2023-02-23,23-360,DAL,,SAS,W (+26),1,30:21,8,16,.500,1,6,.167,11,12,.917,0,7,7,10,2,2,1,0,28,31.1,+8
62,52,2023-02-26,23-363,DAL,,LAL,L (-3),1,36:23,10,22,.455,4,8,.500,2,4,.500,0,9,9,5,1,0,6,3,26,13.8,-8
63,53,2023-02-28,24-000,DAL,,IND,L (-2),1,37:34,14,25,.560,3,9,.333,8,12,.667,1,7,8,6,0,1,2,3,39,30.0,-2
64,54,2023-03-02,24-002,DAL,,PHI,W (+7),1,39:47,13,22,.591,7,13,.538,9,11,.818,1,3,4,12,1,0,5,2,42,36.2,+20
65,55,2023-03-05,24-005,DAL,,PHO,L (-4),1,35:25,8,23,.348,1,9,.111,17,19,.895,0,9,9,4,0,0,5,4,34,19.2,-11
66,56,2023-03-07,24-007,DAL,,UTA,W (+4),1,34:26,10,23,.435,4,11,.364,5,8,.625,1,9,10,6,2,1,6,2,29,19.2,+2
67,57,2023-03-08,24-008,DAL,@,NOP,L (-7),1,27:49,4,14,.286,1,5,.200,6,8,.750,0,3,3,8,1,0,1,0,15,12.5,-4
68,,2023-03-11,24-011,DAL,@,MEM,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,,2023-03-13,24-013,DAL,,MEM,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,,2023-03-15,24-015,DAL,@,SAS,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,,2023-03-17,24-017,DAL,@,LAL,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,,2023-03-20,24-020,DAL,@,MEM,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,58,2023-03-22,24-022,DAL,,GSW,L (-2),1,41:07,11,27,.407,2,10,.200,6,10,.600,1,6,7,17,1,0,5,3,30,23.1,+2
74,59,2023-03-24,24-024,DAL,,CHO,L (-8),1,37:06,12,23,.522,2,9,.222,8,10,.800,0,10,10,8,0,1,5,0,34,26.2,-1
75,60,2023-03-26,24-026,DAL,@,CHO,L (-6),1,40:00,12,29,.414,7,16,.438,9,10,.900,1,11,12,8,2,2,4,2,40,32.3,-11
76,61,2023-03-27,24-027,DAL,@,IND,W (+23),1,28:01,8,17,.471,4,10,.400,5,5,1.000,2,5,7,6,1,0,0,0,25,24.4,+9
77,62,2023-03-29,24-029,DAL,@,PHI,L (-8),1,37:10,9,20,.450,4,9,.444,2,2,1.000,1,9,10,8,0,1,4,3,24,18.1,-7
78,63,2023-04-01,24-032,DAL,@,MIA,L (-7),1,44:31,17,25,.680,2,6,.333,6,7,.857,0,10,10,8,2,0,3,4,42,36.9,-6
79,64,2023-04-02,24-033,DAL,@,ATL,L (-2),1,43:46,8,21,.381,3,12,.250,3,4,.750,0,7,7,7,0,1,5,2,22,12.0,-1
80,65,2023-04-05,24-036,DAL,,SAC,W (+4),1,38:44,9,19,.474,3,11,.273,8,10,.800,1,9,10,6,1,0,1,3,29,24.9,+12
81,66,2023-04-07,24-038,DAL,,CHI,L (-3),1,12:35,4,11,.364,0,5,.000,5,7,.714,0,5,5,3,0,0,0,1,13,9.3,+5
82,,2023-04-09,24-040,DAL,,SAS,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
